Time,Hostname,Vehicles,CPU (%),RAM (%),Net (bytes),GPU (%),GPU Mem (MB)
1739203519.1882048,2d,15,34.5,86.9,3196045028,74,5940.015625
1739203519.3289924,2d,25,32.6,86.9,3196063668,64,5940.015625
1739203519.4075172,2d,19,31.8,86.9,3196075538,64,5940.015625
1739203519.8901026,2d,21,32.5,86.9,3196093249,64,5940.015625
1739203520.032003,2d,17,35.4,86.9,3196115013,64,5940.015625
1739203520.2177744,2d,15,33.5,87.0,3196149688,64,5940.015625
1739203520.355181,2d,25,35.6,87.0,3196166760,63,5940.015625
1739203520.4334023,2d,19,35.3,87.0,3196179956,63,5940.015625
1739203520.9167182,2d,21,36.5,86.9,3196191996,63,5940.015625
1739203521.0641708,2d,17,35.2,86.9,3196203074,63,5940.015625
1739203521.2422264,2d,15,34.2,87.0,3196227545,63,5940.015625
1739203521.3824928,2d,25,32.1,87.0,3196232769,62,5940.015625
1739203521.4611666,2d,19,34.1,87.0,3196244339,62,5940.015625
1739203521.9427445,2d,21,39.0,86.8,3196281695,62,5940.015625
1739203522.0865889,2d,17,40.0,86.8,3196293004,62,5940.015625
1739203522.273378,2d,15,41.7,86.9,3196314068,62,5940.015625
1739203522.4106543,2d,25,42.4,86.8,3196318970,64,5940.015625
1739203522.4911237,2d,19,41.8,86.9,3196329796,64,5940.015625
1739203522.968468,2d,21,39.6,86.9,3196360394,64,5940.015625
1739203523.1069586,2d,17,40.1,86.8,3196435511,64,5940.015625
1739203523.294813,2d,15,39.8,86.9,3196449263,65,5940.015625
1739203523.434962,2d,25,39.3,86.8,3196449263,65,5940.015625
1739203523.5130844,2d,19,38.0,86.8,3196465225,65,5940.015625
1739203523.9963946,2d,21,35.7,86.9,3196507896,65,5940.015625
1739203524.1384027,2d,17,33.6,86.9,3196523056,65,5940.015625
1739203524.3265164,2d,15,32.6,86.9,3196557081,64,5940.015625
1739203524.4648013,2d,25,30.4,86.9,3196571262,64,5940.015625
1739203524.5451133,2d,19,30.9,86.9,3196578827,64,5940.015625
1739203525.0283027,2d,21,31.6,86.9,3196614953,64,5940.015625
1739203525.1718974,2d,17,30.7,86.9,3196622365,64,5940.015625
1739203525.3534157,2d,15,33.0,86.9,3196646435,62,5940.015625
1739203525.4925077,2d,25,34.0,86.9,3196660811,62,5940.015625
1739203525.5694048,2d,19,32.5,86.9,3196671851,62,5940.015625
1739203526.0590737,2d,21,33.2,86.9,3196710823,62,5940.015625
1739203526.196259,2d,17,34.7,87.0,3196719291,62,5940.015625
1739203526.385186,2d,15,33.5,86.9,3196735371,65,5940.015625
1739203526.5241606,2d,25,35.5,87.0,3196742647,65,5940.015625
1739203526.6022403,2d,19,36.6,87.0,3196755575,65,5940.015625
1739203527.084207,2d,21,33.7,86.9,3196802708,65,5940.015625
1739203527.2212684,2d,17,34.6,87.0,3196817754,65,5940.015625
1739203527.4063065,2d,15,35.5,87.0,3196835596,62,5940.015625
1739203527.5472877,2d,25,36.0,87.2,3196846602,62,5940.015625
1739203527.625361,2d,19,36.3,87.2,3196857179,62,5940.015625
1739203528.110108,2d,21,39.1,87.1,3196919398,62,5940.015625
1739203528.2477233,2d,17,38.2,87.2,3196944700,62,5940.015625
1739203528.4340775,2d,15,37.0,87.2,3196969880,66,5940.015625
1739203528.5712774,2d,25,35.1,87.1,3196985197,66,5940.015625
1739203528.6503317,2d,19,35.5,87.1,3196989522,66,5940.015625
1739203529.1381614,2d,21,34.4,87.2,3197041094,66,5940.015625
1739203529.2775757,2d,17,34.2,87.1,3197053619,66,5940.015625
1739203529.4621515,2d,15,35.2,87.1,3197078127,65,5940.015625
1739203529.60289,2d,25,35.4,87.1,3197090849,65,5940.015625
1739203529.6799846,2d,19,34.3,87.1,3197100442,65,5940.015625
1739203530.1661217,2d,21,39.4,87.2,3197162077,65,5940.015625
1739203530.299485,2d,17,43.5,87.1,3197170616,65,5940.015625
1739203530.486209,2d,15,43.2,87.1,3197199711,59,5940.015625
1739203530.6270442,2d,25,43.6,87.1,3197211384,59,5940.015625
1739203530.7080734,2d,19,43.7,87.1,3197217293,59,5940.015625
1739203531.18932,2d,21,39.5,87.1,3197271676,59,5940.015625
